,Name,country,politicalGroup,id,nationalPoliticalGroup,Vote
0,Adamowicz,Poland,Group of the European People's Party (Christian Democrats),197490,Independent,
1,Ademov,Bulgaria,Group of the European People's Party (Christian Democrats),189525,Citizens For European Development Of Bulgaria,
2,Adinolfi,Italy,Group of the European People's Party (Christian Democrats),124831,Forza Italia,
3,Adinolfi,Italy,Identity and Democracy Group,197826,Lega,
4,Agius Saliba,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197403,Partit Laburista,
5,Aguilar,Spain,European Conservatives and Reformists Group,198096,Vox,
6,Aguilera,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125045,Partido Socialista Obrero Espanol,
7,Alametsa,Finland,Group of the Greens/European Free Alliance,204335,Vihrea Liitto,
8,Alexandrov Yordanov,Bulgaria,Group of the European People's Party (Christian Democrats),197836,Union Of Democratic Forces,
9,Alfonsi,France,Group of the Greens/European Free Alliance,96750,Regions Et Peuples Solidaires,
10,Alieva Veli,Bulgaria,Renew Europe Group,197848,Movement For Rights And Freedoms,
11,Al Sahlani,Sweden,Renew Europe Group,197400,Centerpartiet,
12,Amaro,Portugal,Group of the European People's Party (Christian Democrats),197746,Partido Social Democrata,
13,Ameriks,Latvia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197783,Gods Kalpot Rigai,
14,Anderson,Germany,Identity and Democracy Group,197475,Alternative Fur Deutschland,
15,Andresen,Germany,Group of the Greens/European Free Alliance,197448,Bundnis 90/Die Grunen,
16,Andrews,Ireland,Renew Europe Group,204332,Fianna Fail Party,
17,Andrieu,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,113892,Parti Socialiste,
18,Androuet,France,Identity and Democracy Group,197691,Rassemblement National,
19,Androulakis,Greece,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125110,Pasok Kinal,
20,Angel,Luxembourg,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,202073,Parti Ouvrier Socialiste Luxembourgeois,
21,Annemans,Belgium,Identity and Democracy Group,124973,Vlaams Belang,
22,Ansip,Estonia,Renew Europe Group,124696,Eesti Reformierakond,
23,Ara Kovacs,Hungary,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197587,Demokratikus Koalicio,
24,Arena,Belgium,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124936,Parti Socialiste,
25,Arias Echeverria,Spain,Group of the European People's Party (Christian Democrats),96808,Partido Popular,
26,Arimont,Belgium,Group of the European People's Party (Christian Democrats),24922,Christlich Soziale Partei,
27,Arukowicz,Poland,Group of the European People's Party (Christian Democrats),197492,Platforma Obywatelska,
28,Arvanitis,Greece,The Left group in the European Parliament - GUE/NGL,197701,Coalition Of The Radical Left,
29,Asimakopoulou,Greece,Group of the European People's Party (Christian Democrats),197695,Nea Demokratia,
30,Aubry,France,The Left group in the European Parliament - GUE/NGL,197533,La France Insoumise,
31,Auken,Denmark,Group of the Greens/European Free Alliance,28161,Socialistisk Folkeparti,
32,Austrevicius,Lithuania,Renew Europe Group,124766,Lietuvos Respublikos Liberalu Sajudis,
33,Avram,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197651,Partidul Social Democrat,
34,Azmani,Netherlands,Renew Europe Group,197781,Volkspartij Voor Vrijheid En Democratie,
35,Baldassarre,Italy,Identity and Democracy Group,197789,Lega,
36,Pawe Balt,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197495,Nowa Lewica,
37,Bardella,France,Identity and Democracy Group,131580,Rassemblement National,
38,Barley,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197433,Sozialdemokratische Partei Deutschlands,
39,Barrena Arza,Spain,The Left group in the European Parliament - GUE/NGL,197684,Eh Bildu,
40,Bartolo,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197808,Partito Democratico,
41,Basescu,Romania,Group of the European People's Party (Christian Democrats),197671,Partidul Miscarea Populara,
42,Basso,Italy,Identity and Democracy Group,197610,Lega,
43,Ramon Bauza Diaz,Spain,Renew Europe Group,197779,Ciudadanos  Partido De La Ciudadania,
44,Bay,France,Non-attached Members,124760,Reconquete!,
45,Beck,Germany,Identity and Democracy Group,132191,Alternative Fur Deutschland,
46,Beer,Germany,Renew Europe Group,197437,Freie Demokratische Partei,
47,Beghin,Italy,Non-attached Members,124777,Movimento 5 Stelle,
48,Beigneux,France,Identity and Democracy Group,197680,Rassemblement National,
49,Belka,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197496,Nowa Lewica,
50,Bellamy,France,Group of the European People's Party (Christian Democrats),197534,Les Republicains,
51,Benea,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197658,Partidul Social Democrat,
52,Benifei,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124867,Partito Democratico,
53,Benjumea Benjumea,Spain,Group of the European People's Party (Christian Democrats),197679,Partido Popular,
54,Benova,Slovakia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,23868,Smer Socialna Demokracia,
55,Bentele,Germany,Group of the European People's Party (Christian Democrats),197408,Christlich Demokratische Union Deutschlands,
56,Berendsen,Netherlands,Group of the European People's Party (Christian Democrats),197778,Christen Democratisch Appel,
57,Patrick Berg,Germany,European Conservatives and Reformists Group,197478,Liberal Conservative Refomists,
58,Berger,Germany,Group of the European People's Party (Christian Democrats),197410,Christlich Demokratische Union Deutschlands,
59,Bergkvist,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197396,Arbetarepartiet  Socialdemokraterna,
60,Berlato,Italy,European Conservatives and Reformists Group,4746,Fratelli D'Italia,
61,Berlusconi,Italy,Group of the European People's Party (Christian Democrats),4391,Forza Italia,
62,Bernhuber,Austria,Group of the European People's Party (Christian Democrats),197648,Osterreichische Volkspartei,
63,Biedron,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197498,Nowa Lewica,
64,Bielan,Poland,European Conservatives and Reformists Group,23788,Partia Republikanska,
65,Bijoux,France,Renew Europe Group,197551,La Republique En Marche,
66,Bilbao Barandica,Spain,Renew Europe Group,96922,Partido Nacionalista Vasco,
67,Bilcik,Slovakia,Group of the European People's Party (Christian Democrats),197771,Spolu  Obcianska Demokracia,
68,Bilde,France,Identity and Democracy Group,124771,Rassemblement National,
69,Bischoff,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197435,Sozialdemokratische Partei Deutschlands,
70,Biteau,France,Group of the Greens/European Free Alliance,197512,Europe Ecologie,
71,Bizzotto,Italy,Identity and Democracy Group,97198,Lega,
72,Bjork,Sweden,The Left group in the European Parliament - GUE/NGL,124992,Vansterpartiet,
73,Blaga,Romania,Group of the European People's Party (Christian Democrats),197637,Partidul National Liberal,
74,Blasko,Czechia,Identity and Democracy Group,197564,Svoboda A Prima Demokracie,
75,Blinkeviciute,Lithuania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96681,Lietuvos Socialdemokratu Partija,
76,Bloss,Germany,Group of the Greens/European Free Alliance,197449,Bundnis 90/Die Grunen,
77,Bocskor,Hungary,Non-attached Members,124712,Fidesz Magyar Polgari Szovetseg Keresztenydemokrata Neppart,
78,Boeselager,Germany,Group of the Greens/European Free Alliance,197439,Volt,
79,Bogdan,Romania,Group of the European People's Party (Christian Democrats),197636,Partidul National Liberal,
80,Bogovic,Slovenia,Group of the European People's Party (Christian Democrats),125004,Slovenska Ljudska Stranka,
81,Bompard,France,The Left group in the European Parliament - GUE/NGL,197521,La France Insoumise,
82,Bonafe,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124814,Partito Democratico,
83,Bonfrisco,Italy,Identity and Democracy Group,197788,Lega,
84,Borchia,Italy,Identity and Democracy Group,101039,Lega,
85,Borzan,Croatia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,112748,Socijaldemokratska Partija Hrvatske,
86,Botenga,Belgium,The Left group in the European Parliament - GUE/NGL,187917,Parti Du Travail De Belgique,
87,Botos,Romania,Renew Europe Group,197668,Uniunea Salvati Romania,
88,Bourgeois,Belgium,European Conservatives and Reformists Group,197467,Nieuw Vlaamse Alliantie,
89,Boyer,France,Renew Europe Group,197577,Horizons,
90,Braunsberger Reinhold,Germany,Group of the European People's Party (Christian Democrats),226260,Christlich Demokratische Union Deutschlands,
91,Breyer,Germany,Group of the Greens/European Free Alliance,197431,Piratenpartei Deutschland,
92,Brglez,Slovenia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197446,Socialni Demokrati,
93,Bricmont,Belgium,Group of the Greens/European Free Alliance,197470,Ecologistes Confederes Pour L'Organisation De Luttes Originales,
94,Stanisaw Brudzinski,Poland,European Conservatives and Reformists Group,197501,Prawo I Sprawiedliwosc,
95,Bruna,France,Identity and Democracy Group,182995,Rassemblement National,
96,Brunet,France,Renew Europe Group,197576,Mouvement Democrate,
97,Buchheit,Germany,Identity and Democracy Group,128483,Alternative Fur Deutschland,
98,Buda,Romania,Group of the European People's Party (Christian Democrats),125012,Partidul National Liberal,
99,Bullmann,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,4267,Sozialdemokratische Partei Deutschlands,
100,Burkhardt,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197440,Sozialdemokratische Partei Deutschlands,
101,Buschmann,Germany,Non-attached Members,197434,Independent,
102,Busoi,Romania,Group of the European People's Party (Christian Democrats),38420,Partidul National Liberal,
103,Butikofer,Germany,Group of the Greens/European Free Alliance,96739,Bundnis 90/Die Grunen,
104,Buxade Villalba,Spain,European Conservatives and Reformists Group,197829,Vox,
105,Buzek,Poland,Group of the European People's Party (Christian Democrats),28269,Platforma Obywatelska,
106,Calenda,Italy,Renew Europe Group,197617,Azione,
107,Campomenosi,Italy,Identity and Democracy Group,35016,Lega,
108,Canas,Spain,Renew Europe Group,126644,Ciudadanos  Partido De La Ciudadania,
109,Canfin,France,Renew Europe Group,96711,Liste Renaissance,
110,Careme,France,Group of the Greens/European Free Alliance,197574,Europe Ecologie,
111,Caroppo,Italy,Group of the European People's Party (Christian Democrats),197797,Forza Italia,
112,Carvalhais,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,199996,Partido Socialista,
113,Da Graca Carvalho,Portugal,Group of the European People's Party (Christian Democrats),96867,Partido Social Democrata,
114,Casa,Malta,Group of the European People's Party (Christian Democrats),28122,Partit Nazzjonalista,
115,Casanova,Italy,Identity and Democracy Group,197796,Lega,
116,Caspary,Germany,Group of the European People's Party (Christian Democrats),28219,Christlich Demokratische Union Deutschlands,
117,Massimo Castaldo,Italy,Non-attached Members,124812,Movimento 5 Stelle,
118,Del Castillo Vera,Spain,Group of the European People's Party (Christian Democrats),28390,Partido Popular,
119,Cavazzini,Germany,Group of the Greens/European Free Alliance,86793,Bundnis 90/Die Grunen,
120,Ceccardi,Italy,Identity and Democracy Group,197786,Lega,
121,Cerdas,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197641,Partido Socialista,
122,Chabaud,France,Renew Europe Group,197505,Mouvement Democrate,
123,Chahim,Netherlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197782,Partij Van De Arbeid,
124,Chaibi,France,The Left group in the European Parliament - GUE/NGL,197529,La France Insoumise,
125,Charanzova,Czechia,Renew Europe Group,124708,Ano 2011,
126,Chastel,Belgium,Renew Europe Group,197463,Mouvement Reformateur,
127,Chinnici,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124861,Partito Democratico,
128,Christensen,Denmark,Renew Europe Group,197558,Venstre  Danmarks Liberale Parti,
129,Christoforou,Cyprus,Group of the European People's Party (Christian Democrats),26837,Democratic Rally,
130,Cicurel,France,Renew Europe Group,204416,Liste Renaissance,
131,Cimoszewicz,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197507,Sojusz Lewicy Demokratycznej   Unia Pracy,
132,Ciocca,Italy,Identity and Democracy Group,183793,Lega,
133,Ciolos,Romania,Renew Europe Group,197631,Reinnoim Proiectul European Al Romaniei,
134,Ciuhodaru,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197657,Partidul Social Democrat,
135,Ciz,Slovakia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197761,Smer Socialna Demokracia,
136,Clune,Ireland,Group of the European People's Party (Christian Democrats),124988,Fine Gael Party,
137,Colin Oesterle,France,Group of the European People's Party (Christian Democrats),197536,Les Centristes,
138,Collard,France,Non-attached Members,197683,Reconquete!,
139,Comin I Oliveres,Spain,Non-attached Members,202352,Junts Per Catalunya   Lliures Per Europa,
140,Conte,Italy,Identity and Democracy Group,197616,Lega,
141,Cormand,France,Group of the Greens/European Free Alliance,197503,Europe Ecologie,
142,Corrao,Italy,Group of the Greens/European Free Alliance,124856,Independent,
143,Cozzolino,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96880,Partito Democratico,
144,Cretu,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,33997,Pro Romania,
145,Cseh,Hungary,Renew Europe Group,197588,Momentum,
146,Cuffe,Ireland,Group of the Greens/European Free Alliance,197654,Green Party,
147,Cutajar,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197394,Partit Laburista,
148,Czarnecki,Poland,European Conservatives and Reformists Group,28372,Prawo I Sprawiedliwosc,
149,Van Dalen,Netherlands,Group of the European People's Party (Christian Democrats),96809,Christenunie,
150,G. Dalunde,Sweden,Group of the Greens/European Free Alliance,183338,Miljopartiet De Grona,
151,Daly,Ireland,The Left group in the European Parliament - GUE/NGL,197731,Independents For Change,
152,D'Amato,Italy,Group of the Greens/European Free Alliance,124835,Independent,
153,Danjean,France,Group of the European People's Party (Christian Democrats),96747,Les Republicains,
154,Danti,Italy,Renew Europe Group,124821,Italia Viva,
155,Da Re,Italy,Identity and Democracy Group,197608,Lega,
156,David,Czechia,Identity and Democracy Group,197556,Svoboda A Prima Demokracie,
157,De La Pisa Carrion,Spain,European Conservatives and Reformists Group,204414,Vox,
158,De Meo,Italy,Group of the European People's Party (Christian Democrats),204333,Forza Italia,
159,De Basso,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,228604,Arbetarepartiet  Socialdemokraterna,
160,De Castro,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96891,Partito Democratico,
161,Decerle,France,Renew Europe Group,197504,Liste Renaissance,
162,Delbos Corfield,France,Group of the Greens/European Free Alliance,197531,Europe Ecologie,
163,Deli,Hungary,Non-attached Members,124714,Fidesz Magyar Polgari Szovetseg Keresztenydemokrata Neppart,
164,Delli,France,Group of the Greens/European Free Alliance,96868,Europe Ecologie,
165,De Man,Belgium,Identity and Democracy Group,197472,Vlaams Belang,
166,Demirel,Germany,The Left group in the European Parliament - GUE/NGL,197468,Die Linke.,
167,Deparnay Grunenberg,Germany,Group of the Greens/European Free Alliance,197453,Bundnis 90/Die Grunen,
168,Deutsch,Hungary,Non-attached Members,96826,Fidesz Magyar Polgari Szovetseg Keresztenydemokrata Neppart,
169,Didier,France,Group of the European People's Party (Christian Democrats),190774,Les Republicains,
170,Dlabajova,Czechia,Renew Europe Group,124709,Ano 2011,
171,Dobrev,Hungary,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197579,Demokratikus Koalicio,
172,Doleschal,Germany,Group of the European People's Party (Christian Democrats),197473,Christlich Soziale Union In Bayern E.V.,
173,Julia Donath,Hungary,Renew Europe Group,197595,Momentum,
174,Donato,Italy,Non-attached Members,197822,Independent,
175,Dorfmann,Italy,Group of the European People's Party (Christian Democrats),96787,Sudtiroler Volkspartei,
176,Dreosto,Italy,Identity and Democracy Group,197614,Lega,
177,Duda,Poland,Group of the European People's Party (Christian Democrats),197510,Platforma Obywatelska,
178,Dupont,Germany,Group of the European People's Party (Christian Democrats),99945,Christlich Demokratische Union Deutschlands,
179,Dura Ferrandis,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,198329,Partido Socialista Obrero Espanol,
180,Durand,France,Renew Europe Group,124693,Liste Renaissance,
181,Duris Nicholsonova,Slovakia,Renew Europe Group,197766,Independent,
182,Dzhambazki,Bulgaria,European Conservatives and Reformists Group,124873,Vmro,
183,Ehler,Germany,Group of the European People's Party (Christian Democrats),28226,Christlich Demokratische Union Deutschlands,
184,Eickhout,Netherlands,Group of the Greens/European Free Alliance,96725,Groenlinks,
185,Engerer,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,209091,Partit Laburista,
186,Ernst,Germany,The Left group in the European Parliament - GUE/NGL,96852,Die Linke.,
187,Eroglu,Germany,Renew Europe Group,197430,Freie Wahler,
188,Ertug,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96842,Sozialdemokratische Partei Deutschlands,
189,Estaras Ferragut,Spain,Group of the European People's Party (Christian Democrats),96811,Partido Popular,
190,Evi,Italy,Group of the Greens/European Free Alliance,124779,Europa Verde,
191,Evren,France,Group of the European People's Party (Christian Democrats),197535,Les Republicains,
192,Falca,Romania,Group of the European People's Party (Christian Democrats),197649,Partidul National Liberal,
193,Farreng,France,Renew Europe Group,197589,Mouvement Democrate,
194,Ferber,Germany,Group of the European People's Party (Christian Democrats),1917,Christlich Soziale Union In Bayern E.V.,
195,Manuel Fernandes,Portugal,Group of the European People's Party (Christian Democrats),96899,Partido Social Democrata,
196,Fernandez,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125046,Partido Socialista Obrero Espanol,
197,Ferrandino,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,192634,Partito Democratico,
198,Ferrara,Italy,Non-attached Members,124833,Movimento 5 Stelle,
199,Fest,Germany,Identity and Democracy Group,197480,Alternative Fur Deutschland,
200,Fidanza,Italy,European Conservatives and Reformists Group,96810,Fratelli D'Italia,
201,Fiocchi,Italy,European Conservatives and Reformists Group,197607,Fratelli D'Italia,
202,Fitto,Italy,European Conservatives and Reformists Group,4465,Fratelli D'Italia,
203,Fitzgerald,Ireland,Group of the European People's Party (Christian Democrats),197720,Fine Gael Party,
204,Ming Flanagan,Ireland,The Left group in the European Parliament - GUE/NGL,124985,Independent,
205,Flego,Croatia,Renew Europe Group,197419,Istarski Demokratski Sabor   Dieta Democratica Istriana,
206,Fotyga,Poland,European Conservatives and Reformists Group,28353,Prawo I Sprawiedliwosc,
207,Fourlas,Cyprus,Group of the European People's Party (Christian Democrats),197414,Democratic Rally,
208,Fragkos,Greece,European Conservatives and Reformists Group,198490,Elliniki Lusi Greek Solution,
209,Frankowski,Poland,Group of the European People's Party (Christian Democrats),197513,Platforma Obywatelska,
210,Franssen,Belgium,Group of the European People's Party (Christian Democrats),197455,Christen Democratisch   Vlaams,
211,Franz,Germany,Group of the Greens/European Free Alliance,193273,Bundnis 90/Die Grunen,
212,Freund,Germany,Group of the Greens/European Free Alliance,106936,Bundnis 90/Die Grunen,
213,Fritzon,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197391,Arbetarepartiet  Socialdemokraterna,
214,Fuglsang,Denmark,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,101585,Socialdemokratiet,
215,Furore,Italy,Non-attached Members,197795,Movimento 5 Stelle,
216,Gade,Denmark,Renew Europe Group,197555,Venstre  Danmarks Liberale Parti,
217,Gahler,Germany,Group of the European People's Party (Christian Democrats),2341,Christlich Demokratische Union Deutschlands,
218,Gal,Hungary,Non-attached Members,28150,Fidesz Magyar Polgari Szovetseg Keresztenydemokrata Neppart,
219,Gallee,Germany,Group of the Greens/European Free Alliance,229352,Bundnis 90/Die Grunen,
220,Galvez Munoz,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197702,Partido Socialista Obrero Espanol,
221,Gamon,Austria,Renew Europe Group,197632,Neos  Das Neue Osterreich,
222,Gancia,Italy,Identity and Democracy Group,197582,Lega,
223,Garcia Del Blanco,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197717,Partido Socialista Obrero Espanol,
224,Manuel Garcia Margallo Y Marfil,Spain,Group of the European People's Party (Christian Democrats),1992,Partido Popular,
225,Garcia Munoz,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197742,Partido Socialista Obrero Espanol,
226,Garcia Perez,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,28298,Partido Socialista Obrero Espanol,
227,Gardiazabal Rubial,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96991,Partido Socialista Obrero Espanol,
228,Garicano,Spain,Renew Europe Group,197554,Ciudadanos  Partido De La Ciudadania,
229,Garraud,France,Identity and Democracy Group,197628,Rassemblement National,
230,Geese,Germany,Group of the Greens/European Free Alliance,183916,Bundnis 90/Die Grunen,
231,Geier,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96833,Sozialdemokratische Partei Deutschlands,
232,Gemma,Italy,Non-attached Members,197794,Movimento 5 Stelle,
233,Georgiou,Cyprus,The Left group in the European Parliament - GUE/NGL,197416,Progressive Party Of Working People   Left   New Forces,
234,Georgoulis,Greece,The Left group in the European Parliament - GUE/NGL,197819,Coalition Of The Radical Left,
235,Geuking,Germany,Group of the European People's Party (Christian Democrats),197436,Familien Partei Deutschlands,
236,Gheorghe,Romania,Renew Europe Group,209140,Uniunea Salvati Romania,
237,Giarrusso,Italy,Non-attached Members,197804,Independent,
238,Gieseke,Germany,Group of the European People's Party (Christian Democrats),124807,Christlich Demokratische Union Deutschlands,
239,Glavak,Croatia,Group of the European People's Party (Christian Democrats),202036,Hrvatska Demokratska Zajednica,
240,Gluck,Germany,Renew Europe Group,197443,Freie Demokratische Partei,
