,Name,country,politicalGroup,id,nationalPoliticalGroup,Vote
241,Glucksmann,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197694,Place Publique,
242,Goerens,Luxembourg,Renew Europe Group,840,Parti Democratique,
243,Silvana Gonzalez,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197728,Partido Socialista Obrero Espanol,
244,Gonzalez Casares,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197718,Partido Socialista Obrero Espanol,
245,Gonzalez Pons,Spain,Group of the European People's Party (Christian Democrats),125027,Partido Popular,
246,Gozi,France,Renew Europe Group,204419,Liste Renaissance,
247,De Graaff,Netherlands,Identity and Democracy Group,125025,Partij Voor De Vrijheid,
248,Grant,Italy,Identity and Democracy Group,197799,Lega,
249,Grapini,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124785,Partidul Umanist Social Liberal,
250,Gregorova,Czechia,Group of the Greens/European Free Alliance,197549,Pirati,
251,Griset,France,Identity and Democracy Group,94649,Rassemblement National,
252,Groothuis,Netherlands,Renew Europe Group,197780,Volkspartij Voor Vrijheid En Democratie,
253,Groselj,Slovenia,Renew Europe Group,197452,Lista Marjana Sarca,
254,Grudler,France,Renew Europe Group,197557,Mouvement Democrate,
255,Gruffat,France,Group of the Greens/European Free Alliance,204420,Europe Ecologie,
256,Gualmini,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197618,Partito Democratico,
257,Guerreiro,Portugal,Group of the Greens/European Free Alliance,197645,Independente,
258,Guetta,France,Renew Europe Group,197543,Liste Renaissance,
259,Guillaume,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96952,Parti Socialiste,
260,Gusmao,Portugal,The Left group in the European Parliament - GUE/NGL,88715,Bloco De Esquerda,
261,Guteland,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124991,Arbetarepartiet  Socialdemokraterna,
262,Gyongyosi,Hungary,Non-attached Members,198063,Jobbik Magyarorszagert Mozgalom,
263,Gyori,Hungary,Non-attached Members,96830,Fidesz Magyar Polgari Szovetseg Keresztenydemokrata Neppart,
264,Gyurk,Hungary,Non-attached Members,23816,Fidesz Magyar Polgari Szovetseg Keresztenydemokrata Neppart,
265,Hahn,Germany,Renew Europe Group,197444,Freie Demokratische Partei,
266,Hahn,Germany,Group of the Greens/European Free Alliance,197457,Bundnis 90/Die Grunen,
267,Haider,Austria,Identity and Democracy Group,198176,Freiheitliche Partei Osterreichs,
268,Hajsel,Slovakia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,34578,Independent,
269,Hakkarainen,Finland,Identity and Democracy Group,197596,Perussuomalaiset,
270,Halicki,Poland,Group of the European People's Party (Christian Democrats),197514,Platforma Obywatelska,
271,Hansen,Luxembourg,Group of the European People's Party (Christian Democrats),193419,Parti Chretien Social Luxembourgeois,
272,Hausling,Germany,Group of the Greens/European Free Alliance,96752,Bundnis 90/Die Grunen,
273,Hautala,Finland,Group of the Greens/European Free Alliance,2054,Vihrea Liitto,
274,Hava,Romania,Group of the European People's Party (Christian Democrats),197646,Partidul National Liberal,
275,Hayer,France,Renew Europe Group,135511,La Republique En Marche,
276,Hazekamp,Netherlands,The Left group in the European Parliament - GUE/NGL,125023,Partij Voor De Dieren,
277,Heide,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197682,Sozialdemokratische Partei Osterreichs,
278,Heinaluoma,Finland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197800,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti,
279,Herbst,Germany,Group of the European People's Party (Christian Democrats),197412,Christlich Demokratische Union Deutschlands,
280,Herzberger Fofana,Germany,Group of the Greens/European Free Alliance,197459,Bundnis 90/Die Grunen,
281,Hetman,Poland,Group of the European People's Party (Christian Democrats),124895,Polskie Stronnictwo Ludowe,
282,Hidveghi,Hungary,Non-attached Members,124586,Fidesz Magyar Polgari Szovetseg Keresztenydemokrata Neppart,
283,Hlavacek,Czechia,Renew Europe Group,197526,Ano 2011,
284,Hohlmeier,Germany,Group of the European People's Party (Christian Democrats),96780,Christlich Soziale Union In Bayern E.V.,
285,Hojsik,Slovakia,Renew Europe Group,197770,Progresivne Slovensko,
286,Holmgren,Sweden,Group of the Greens/European Free Alliance,197398,Miljopartiet De Grona,
287,Holvenyi,Hungary,Group of the European People's Party (Christian Democrats),124715,Keresztenydemokrata Neppart,
288,Homs Ginel,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,122978,Partido Socialista Obrero Espanol,
289,Hoogeveen,Netherlands,European Conservatives and Reformists Group,218349,Ja21,
290,Hortefeux,France,Group of the European People's Party (Christian Democrats),5565,Les Republicains,
291,Hristov,Bulgaria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197846,Bulgarian Socialist Party,
292,Maria Hubner,Poland,Group of the European People's Party (Christian Democrats),96779,Platforma Obywatelska,
293,Huhtasaari,Finland,Identity and Democracy Group,197594,Perussuomalaiset,
294,Huitema,Netherlands,Renew Europe Group,58789,Volkspartij Voor Vrijheid En Democratie,
295,Ijabs,Latvia,Renew Europe Group,197624,Attistibai/Par!,
296,Ilcic,Croatia,European Conservatives and Reformists Group,221463,Hrvatski Suverenisti,
297,Incir,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197392,Arbetarepartiet  Socialdemokraterna,
298,In 'T Veld,Netherlands,Renew Europe Group,28266,Democraten 66,
299,Jadot,France,Group of the Greens/European Free Alliance,96740,Europe Ecologie,
300,Jahr,Germany,Group of the European People's Party (Christian Democrats),96772,Christlich Demokratische Union Deutschlands,
301,Jakeliunas,Lithuania,Group of the Greens/European Free Alliance,197837,Independent,
302,Jaki,Poland,European Conservatives and Reformists Group,197516,Solidarna Polska Zbigniewa Ziobro,
303,Jalkh,France,Identity and Democracy Group,124770,Rassemblement National,
304,Jamet,France,Identity and Democracy Group,189065,Rassemblement National,
305,Jaroka,Hungary,Non-attached Members,28141,Fidesz Magyar Polgari Szovetseg Keresztenydemokrata Neppart,
306,Jarubas,Poland,Group of the European People's Party (Christian Democrats),197517,Polskie Stronnictwo Ludowe,
307,Jerkovic,Croatia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,112747,Socijaldemokratska Partija Hrvatske,
308,Jongerius,Netherlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125021,Partij Van De Arbeid,
309,Joron,France,Identity and Democracy Group,197627,Rassemblement National,
310,Joveva,Slovenia,Renew Europe Group,197447,Lista Marjana Sarca,
311,Jukneviciene,Lithuania,Group of the European People's Party (Christian Democrats),197840,Tevynes Sajunga Lietuvos Krikscionys Demokratai,
312,Jurgiel,Poland,European Conservatives and Reformists Group,197518,Prawo I Sprawiedliwosc,
313,Jurzyca,Slovakia,European Conservatives and Reformists Group,197767,Sloboda A Solidarita,
314,Juvin,France,Identity and Democracy Group,197626,Rassemblement National,
315,Kaili,Greece,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125109,Panhellenic Socialist Movement   Olive Tree,
316,Kalinowski,Poland,Group of the European People's Party (Christian Democrats),96771,Polskie Stronnictwo Ludowe,
317,Kaljurand,Estonia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197491,Sotsiaaldemokraatlik Erakond,
318,Kalniete,Latvia,Group of the European People's Party (Christian Democrats),96934,"Partija ""Vienotiba""",
319,Kammerevert,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96837,Sozialdemokratische Partei Deutschlands,
320,Kanev,Bulgaria,Group of the European People's Party (Christian Democrats),197839,Democrats For Strong Bulgaria,
321,Kanko,Belgium,European Conservatives and Reformists Group,197469,Nieuw Vlaamse Alliantie,
322,Karas,Austria,Group of the European People's Party (Christian Democrats),4246,Osterreichische Volkspartei,
323,Karleskind,France,Renew Europe Group,197585,La Republique En Marche,
324,Karlsbro,Sweden,Renew Europe Group,197401,Liberalerna,
325,Karski,Poland,European Conservatives and Reformists Group,124887,Prawo I Sprawiedliwosc,
326,Katainen,Finland,Renew Europe Group,191693,Suomen Keskusta,
327,Kefalogiannis,Greece,Group of the European People's Party (Christian Democrats),125068,Nea Demokratia,
328,Kelleher,Ireland,Renew Europe Group,197818,Fianna Fail Party,
329,Keller,France,Renew Europe Group,22858,Agir   La Droite Constructive,
330,Keller,Germany,Group of the Greens/European Free Alliance,96734,Bundnis 90/Die Grunen,
331,Kelly,Ireland,Group of the European People's Party (Christian Democrats),96668,Fine Gael Party,
332,Kempa,Poland,European Conservatives and Reformists Group,197519,Solidarna Polska Zbigniewa Ziobro,
333,Kizilyurek,Cyprus,The Left group in the European Parliament - GUE/NGL,197415,Progressive Party Of Working People   Left   New Forces,
334,Kloc,Poland,European Conservatives and Reformists Group,197520,Prawo I Sprawiedliwosc,
335,Knotek,Czechia,Renew Europe Group,197528,Ano 2011,
336,Kofod,Denmark,Identity and Democracy Group,197570,Dansk Folkeparti,
337,Kohut,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197523,Nowa Lewica,
338,Kokalari,Sweden,Group of the European People's Party (Christian Democrats),197406,Moderaterna,
339,Kokkalis,Greece,The Left group in the European Parliament - GUE/NGL,197743,Coalition Of The Radical Left,
340,Kolaja,Czechia,Group of the Greens/European Free Alliance,197546,Pirati,
341,Kolakusic,Croatia,Non-attached Members,197438, ,
342,Konecna,Czechia,The Left group in the European Parliament - GUE/NGL,23699,Komunisticka Strana Cech A Moravy,
343,Konstantinou,Greece,Non-attached Members,197740,Independent,
344,Kopacz,Poland,Group of the European People's Party (Christian Democrats),197525,Platforma Obywatelska,
345,Kopcinska,Poland,European Conservatives and Reformists Group,197530,Prawo I Sprawiedliwosc,
346,Korner,Germany,Renew Europe Group,197445,Freie Demokratische Partei,
347,Kosa,Hungary,Non-attached Members,96829,Fidesz Magyar Polgari Szovetseg Keresztenydemokrata Neppart,
348,Koster,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124822,Sozialdemokratische Partei Deutschlands,
349,Kouloglou,Greece,The Left group in the European Parliament - GUE/NGL,130833,Coalition Of The Radical Left,
350,Kountoura,Greece,The Left group in the European Parliament - GUE/NGL,197699,Coalition Of The Radical Left,
351,Kovarik,Czechia,Renew Europe Group,118949,Ano 2011,
352,Kovatchev,Bulgaria,Group of the European People's Party (Christian Democrats),97968,Citizens For European Development Of Bulgaria,
353,Krah,Germany,Identity and Democracy Group,197481,Alternative Fur Deutschland,
354,Krasnodebski,Poland,European Conservatives and Reformists Group,124891,Prawo I Sprawiedliwosc,
355,Krehl,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1854,Sozialdemokratische Partei Deutschlands,
356,Kruk,Poland,European Conservatives and Reformists Group,197532,Prawo I Sprawiedliwosc,
357,Kubilius,Lithuania,Group of the European People's Party (Christian Democrats),197843,Tevynes Sajunga Lietuvos Krikscionys Demokratai,
358,Kuhnke,Sweden,Group of the Greens/European Free Alliance,197395,Miljopartiet De Grona,
359,Kuhs,Germany,Identity and Democracy Group,197482,Alternative Fur Deutschland,
360,Kumpula Natri,Finland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124735,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti,
361,Kuzmiuk,Poland,European Conservatives and Reformists Group,28389,Prawo I Sprawiedliwosc,
362,Kympouropoulos,Greece,Group of the European People's Party (Christian Democrats),197692,Nea Demokratia,
363,Kyrtsos,Greece,Renew Europe Group,125063,Independent,
364,Kyuchyuk,Bulgaria,Renew Europe Group,124866,Movement For Rights And Freedoms,
365,Lacapelle,France,Identity and Democracy Group,204421,Rassemblement National,
366,Lagodinsky,Germany,Group of the Greens/European Free Alliance,197460,Bundnis 90/Die Grunen,
367,Lagos,Greece,Non-attached Members,197737,Independent,
368,Lalucq,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197697,Place Publique,
369,Lamberts,Belgium,Group of the Greens/European Free Alliance,96648,Ecologistes Confederes Pour L'Organisation De Luttes Originales,
370,Oscar Lancini,Italy,Identity and Democracy Group,192635,Lega,
371,Lange,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1909,Sozialdemokratische Partei Deutschlands,
372,De Lange,Netherlands,Group of the European People's Party (Christian Democrats),38398,Christen Democratisch Appel,
373,Langensiepen,Germany,Group of the Greens/European Free Alliance,197461,Bundnis 90/Die Grunen,
374,Laporte,France,Identity and Democracy Group,197597,Rassemblement National,
375,Larrouturou,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197698,Nouvelle Donne,
376,Laureti,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,230085,Partito Democratico,
377,Lebreton,France,Identity and Democracy Group,124738,Rassemblement National,
378,Lechanteux,France,Identity and Democracy Group,197686,Rassemblement National,
379,Lega,Sweden,Group of the European People's Party (Christian Democrats),197393,Kristdemokraterna,
380,Antoni Legutko,Poland,European Conservatives and Reformists Group,96796,Prawo I Sprawiedliwosc,
381,Leitao Marques,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197635,Partido Socialista,
382,Lenaers,Netherlands,Group of the European People's Party (Christian Democrats),95074,Christen Democratisch Appel,
383,Lewandowski,Poland,Group of the European People's Party (Christian Democrats),23781,Platforma Obywatelska,
384,Lexmann,Slovakia,Group of the European People's Party (Christian Democrats),204336,Krestanskodemokraticke Hnutie,
385,Liberadzki,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,23768,Nowa Lewica,
386,Liese,Germany,Group of the European People's Party (Christian Democrats),1927,Christlich Demokratische Union Deutschlands,
387,Limmer,Germany,Identity and Democracy Group,197483,Alternative Fur Deutschland,
388,Lins,Germany,Group of the European People's Party (Christian Democrats),124808,Christlich Demokratische Union Deutschlands,
389,Lizzi,Italy,Identity and Democracy Group,197611,Lega,
390,Loiseau,France,Renew Europe Group,197494,Liste Renaissance,
391,Lkkegaard,Denmark,Renew Europe Group,96709,Venstre  Danmarks Liberale Parti,
392,Lopez,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125042,Partit Dels Socialistes De Catalunya,
393,Fernando Lopez Aguilar,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96812,Partido Socialista Obrero Espanol,
394,Lopez Gil,Spain,Group of the European People's Party (Christian Democrats),197777,Partido Popular,
395,Lopez Isturiz White,Spain,Group of the European People's Party (Christian Democrats),28399,Partido Popular,
396,Lucke,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,228286,Sozialdemokratische Partei Deutschlands,
397,Luena,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197721,Partido Socialista Obrero Espanol,
398,Katarzyna ukacijewska,Poland,Group of the European People's Party (Christian Democrats),96791,Platforma Obywatelska,
399,Lundgren,Sweden,European Conservatives and Reformists Group,124996,Sverigedemokraterna,
400,Lutgen,Belgium,Group of the European People's Party (Christian Democrats),197458,Les Engages,
401,Mcallister,Germany,Group of the European People's Party (Christian Democrats),124806,Christlich Demokratische Union Deutschlands,
402,Macmanus,Ireland,The Left group in the European Parliament - GUE/NGL,205452,Sinn Fein,
403,Madison,Estonia,Identity and Democracy Group,197493,Eesti Konservatiivne Rahvaerakond,
404,Maestre Martin De Almagro,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197719,Partido Socialista Obrero Espanol,
405,Majorino,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197592,Partito Democratico,
406,Maldeikiene,Lithuania,Group of the European People's Party (Christian Democrats),197835,Independent,
407,Maldonado Lopez,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197735,Partido Socialista Obrero Espanol,
408,Manda,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197653,Partidul Social Democrat,
409,Manders,Netherlands,Group of the European People's Party (Christian Democrats),4560,Christen Democratisch Appel,
410,Mandl,Austria,Group of the European People's Party (Christian Democrats),190713,Osterreichische Volkspartei,
411,Mariani,France,Identity and Democracy Group,197623,Rassemblement National,
412,Marinescu,Romania,Group of the European People's Party (Christian Democrats),33982,Partidul National Liberal,
413,Markey,Ireland,Group of the European People's Party (Christian Democrats),209896,Fine Gael Party,
414,Marquardt,Germany,Group of the Greens/European Free Alliance,197462,Bundnis 90/Die Grunen,
415,Marques,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197638,Partido Socialista,
416,Marques,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197634,Partido Socialista,
417,Martusciello,Italy,Group of the European People's Party (Christian Democrats),124828,Forza Italia,
418,Matias,Portugal,The Left group in the European Parliament - GUE/NGL,96820,Bloco De Esquerda,
419,Fred Matic,Croatia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197441,Socijaldemokratska Partija Hrvatske,
420,Mato,Spain,Group of the European People's Party (Christian Democrats),96936,Partido Popular,
421,Matthieu,Belgium,Group of the Greens/European Free Alliance,208722,Groen,
422,Maurel,France,The Left group in the European Parliament - GUE/NGL,24505,Gauche Republicaine Et Socialiste,
423,Mavrides,Cyprus,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124691,Democratic Party,
424,Maxova,Czechia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197522,Independent,
425,Maydell,Bulgaria,Group of the European People's Party (Christian Democrats),98341,Citizens For European Development Of Bulgaria,
426,Mayer,Austria,Identity and Democracy Group,38511,Freiheitliche Partei Osterreichs,
427,Mazurek,Poland,European Conservatives and Reformists Group,197538,Prawo I Sprawiedliwosc,
428,Mazylis,Lithuania,Group of the European People's Party (Christian Democrats),197841,Tevynes Sajunga Lietuvos Krikscionys Demokratai,
429,Mebarek,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,204418,Parti Socialiste,
430,Meimarakis,Greece,Group of the European People's Party (Christian Democrats),197662,Nea Demokratia,
431,Melbarde,Latvia,European Conservatives and Reformists Group,130256,"Nacionala Apvieniba ""Visu Latvijai!"" ""Tevzemei Un Brivibai/Lnnk""",
432,Melchior,Denmark,Renew Europe Group,197567,Det Radikale Venstre,
433,Melin,France,Identity and Democracy Group,124765,Rassemblement National,
434,Melo,Portugal,Group of the European People's Party (Christian Democrats),96978,Partido Do Centro Democratico Social Partido Popular,
435,Metsola,Malta,Group of the European People's Party (Christian Democrats),118859,Partit Nazzjonalista,
436,Metz,Luxembourg,Group of the Greens/European Free Alliance,193292,Dei Greng   Les Verts,
437,Meuthen,Germany,Non-attached Members,190518,Deutsche Zentrumspartei,
438,Michels,Germany,The Left group in the European Parliament - GUE/NGL,120478,Die Linke.,
439,Mihaylova,Bulgaria,Renew Europe Group,125128,Movement For Rights And Freedoms,
440,Mikser,Estonia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197497,Sotsiaaldemokraatlik Erakond,
441,Milazzo,Italy,European Conservatives and Reformists Group,197824,Fratelli D'Italia,
442,Jose Millan Mon,Spain,Group of the European People's Party (Christian Democrats),28400,Partido Popular,
443,Miller,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197540,Nowa Lewica,
444,Mituta,Romania,Renew Europe Group,212855,Reinnoim Proiectul European Al Romaniei,
445,Modig,Finland,The Left group in the European Parliament - GUE/NGL,197805,Vasemmistoliitto,
446,Molnar,Hungary,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124722,Demokratikus Koalicio,
447,Monteiro De Aguiar,Portugal,Group of the European People's Party (Christian Democrats),124734,Partido Social Democrata,
448,Montserrat,Spain,Group of the European People's Party (Christian Democrats),197711,Partido Popular,
449,Morano,France,Group of the European People's Party (Christian Democrats),72779,Les Republicains,
450,Moreno Sanchez,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,28347,Partido Socialista Obrero Espanol,
451,Moretti,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124799,Partito Democratico,
452,Mortler,Germany,Group of the European People's Party (Christian Democrats),197427,Christlich Soziale Union In Bayern E.V.,
453,Motreanu,Romania,Group of the European People's Party (Christian Democrats),197647,Partidul National Liberal,
454,Anna Mozdzanowska,Poland,European Conservatives and Reformists Group,197541,Prawo I Sprawiedliwosc,
455,Muller,Germany,Renew Europe Group,124862,Freie Wahler,
456,Muresan,Romania,Group of the European People's Party (Christian Democrats),124802,Partidul National Liberal,
457,Nagtegaal,Netherlands,Renew Europe Group,190519,Volkspartij Voor Vrijheid En Democratie,
458,Nart,Spain,Renew Europe Group,125005,Independiente,
459,Negrescu,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,88882,Partidul Social Democrat,
460,Nemec,Slovenia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,233862,Socialni Demokrati,
461,Neumann,Germany,Group of the Greens/European Free Alliance,197464,Bundnis 90/Die Grunen,
462,Nica,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124784,Partidul Social Democrat,
463,Niebler,Germany,Group of the European People's Party (Christian Democrats),4289,Christlich Soziale Union In Bayern E.V.,
464,Niedermayer,Czechia,Group of the European People's Party (Christian Democrats),124701,Top 09 A Starostove,
465,Niena,Germany,Group of the Greens/European Free Alliance,197465,Bundnis 90/Die Grunen,
466,Niinisto,Finland,Group of the Greens/European Free Alliance,197802,Vihrea Liitto,
467,Nikolaou Alavanos,Greece,Non-attached Members,197734,Communist Party Of Greece,
468,Nistor,Romania,Group of the European People's Party (Christian Democrats),202112,Partidul National Liberal,
469,Noichl,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124836,Sozialdemokratische Partei Deutschlands,
